scenario_id,category,subclass,success,completion_step,evidence_type,evidence_path,source_config,log_candidates
M4_16,M,M4,True,6,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M4_16/run_M4_16.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M4_16.json,1
M4_17,M,M4,True,3,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M4_17/run_M4_17.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M4_17.json,1
M4_18,M,M4,True,3,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M4_18/run_M4_18.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M4_18.json,1
M4_19,M,M4,True,2,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M4_19/run_M4_19.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M4_19.json,1
M4_20,M,M4,True,8,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/M4_20/run_M4_20.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M4_20.json,1
P1_01,P,P1,True,0,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/P1_01/run_P1_01.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P1_01.json,1
P1_02,P,P1,True,0,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/P1_02/run_P1_02.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P1_02.json,1
P1_03,P,P1,False,,no_success_evidence,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P1_03.json,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P1_03.json,0
P1_04,P,P1,False,,no_success_evidence,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P1_04.json,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P1_04.json,0
P1_05,P,P1,True,0,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/P1_05/run_P1_05.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P1_05.json,1
P2_06,P,P2,False,,no_success_evidence,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P2_06.json,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P2_06.json,0
P2_07,P,P2,True,8,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/P2_07/run_P2_07.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P2_07.json,1
P2_08,P,P2,True,3,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/P2_08/run_P2_08.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P2_08.json,1
P2_09,P,P2,True,11,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/P2_09/run_P2_09.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P2_09.json,1
P2_10,P,P2,True,5,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/P2_10/run_P2_10.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P2_10.json,1
P3_11,P,P3,True,7,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/P3_11/run_P3_11.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_11.json,2
P3_12,P,P3,False,,no_success_evidence,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_P3_12.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_12.json,2
P3_13,P,P3,True,5,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/P3_13/run_P3_13.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_13.json,2
P3_14,P,P3,True,7,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/P3_14/run_P3_14.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_14.json,3
P3_15,P,P3,True,9,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/P3_15/run_P3_15.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_15.json,2
P3_16,P,P3,True,6,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/P3_16/run_P3_16.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_16.json,2
P3_17,P,P3,True,12,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/P3_17/run_P3_17.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_17.json,3
P3_18,P,P3,False,,no_success_evidence,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_P3_18.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_18.json,2
P3_19,P,P3,False,,no_success_evidence,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_P3_19.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_19.json,2
P3_20,P,P3,True,7,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/robostate/success/P3_20/run_P3_20.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_20.json,2
